ano_mes,mes_desc,faixa_etaria,sexo_desc,cor_raca_desc,escolaridade_desc,total_pessoas,qtd_trabalhou,qtd_trabalho_remoto,qtd_bolsa_familia,qtd_auxilio_emergencial,qtd_sintomaticos,pct_trabalhou,pct_trabalho_remoto,pct_bolsa_familia,pct_auxilio_emergencial,pct_sintomaticos
202009,Setembro/2020,0-17,Masculino,Amarela,Fundamental completo,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202009,Setembro/2020,0-17,Masculino,Indígena,Médio completo,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
202009,Setembro/2020,0-17,Masculino,Parda,Fundamental completo,397,28,20,31,25,1,7.05,71.43,7.81,6.3,0.25
202009,Setembro/2020,0-17,Masculino,Preta,Sem instrução,672,0,0,61,39,13,0.0,0.0,9.08,5.8,1.93
202009,Setembro/2020,0-17,Masculino,Amarela,Médio incompleto,26,3,3,1,1,0,11.54,100.0,3.85,3.85,0.0
202009,Setembro/2020,0-17,Masculino,Branca,Médio completo,107,20,17,6,8,2,18.69,85.0,5.61,7.48,1.87
202009,Setembro/2020,0-17,Masculino,Parda,Superior incompleto,16,1,1,1,0,0,6.25,100.0,6.25,0.0,0.0
202009,Setembro/2020,0-17,Masculino,Preta,Fundamental completo,70,5,3,5,4,0,7.14,60.0,7.14,5.71,0.0
202009,Setembro/2020,0-17,Masculino,Branca,Superior incompleto,21,7,7,2,2,2,33.33,100.0,9.52,9.52,9.52
202009,Setembro/2020,0-17,Masculino,Parda,Fundamental incompleto,14668,246,147,1153,969,254,1.68,59.76,7.86,6.61,1.73
202009,Setembro/2020,0-17,Masculino,Amarela,Sem instrução,53,0,0,5,5,2,0.0,0.0,9.43,9.43,3.77
202009,Setembro/2020,0-17,Masculino,Parda,Sem instrução,6587,4,4,493,448,154,0.06,100.0,7.48,6.8,2.34
202009,Setembro/2020,0-17,Masculino,Amarela,Fundamental incompleto,139,3,2,15,17,2,2.16,66.67,10.79,12.23,1.44
202009,Setembro/2020,0-17,Masculino,Ignorado,Sem instrução,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202009,Setembro/2020,0-17,Masculino,Amarela,Superior incompleto,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202009,Setembro/2020,0-17,Masculino,Amarela,Médio completo,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0
202009,Setembro/2020,0-17,Masculino,Preta,Superior incompleto,3,1,1,0,0,0,33.33,100.0,0.0,0.0,0.0
202009,Setembro/2020,0-17,Masculino,Ignorado,Médio incompleto,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
